case_name,dd_risk_mode,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,start_name,start,returncode,annual,pnl_ratio,sharpe,max_drawdown,win_ratio,open_count,close_count,log_file,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
pos94_sl07tp07_dd0510_s7050,1,0.05,0.1,0.03,0.7,0.5,full_20240605,2024-06-05 09:00:00,0,5.144622061843618,10.557046368002384,1.8205388526118542,0.396597095308004,0.5891089108910891,203,202,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s7050_full_20240605.log,0.38747211632653067,0.23265306122448978,1,490
pos94_sl07tp07_dd0510_s7050,1,0.05,0.1,0.03,0.7,0.5,recent60_20260324,2026-03-24 09:00:00,0,0.5278146780125825,0.13303822021139067,1.0354996508736753,0.2029683932940212,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s7050_recent60_20260324.log,0.46371063636363635,0.32727272727272727,1,55
pos94_sl07tp07_dd0510_s7050,1,0.05,0.1,0.03,0.7,0.5,late_20250701,2025-07-01 09:00:00,0,2.981805633854296,2.9246203203283234,2.4139911766132784,0.20373016088246154,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s7050_late_20250701.log,0.4377883116883118,0.3246753246753247,1,231
pos94_sl07tp07_dd0510_s7050,1,0.05,0.1,0.03,0.7,0.5,late_20251009,2025-10-09 09:00:00,0,1.9918908118535918,1.4079666560499362,2.4226481459755203,0.20364928339247584,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s7050_late_20251009.log,0.4489215636363637,0.34545454545454546,1,165
pos94_sl07tp07_dd0510_s7050,1,0.05,0.1,0.03,0.7,0.5,late_20260105,2026-01-05 09:00:00,0,1.7270224866120034,0.8043666376001112,2.3931143520872804,0.20301894367615692,0.625,49,48,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s7050_late_20260105.log,0.4499573142857144,0.3523809523809524,1,105
pos94_sl07tp07_dd0510_s8060,1,0.05,0.1,0.03,0.8,0.6,full_20240605,2024-06-05 09:00:00,0,7.11679168562667,14.60404650009418,1.8812364678957605,0.42916500571677163,0.5891089108910891,203,202,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s8060_full_20240605.log,0.4171519448979592,0.23673469387755103,1,490
pos94_sl07tp07_dd0510_s8060,1,0.05,0.1,0.03,0.8,0.6,recent60_20260324,2026-03-24 09:00:00,0,0.4443094917269287,0.11199033764076012,0.8259558107114032,0.22498476772749307,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s8060_recent60_20260324.log,0.4905388545454545,0.32727272727272727,1,55
pos94_sl07tp07_dd0510_s8060,1,0.05,0.1,0.03,0.8,0.6,late_20250701,2025-07-01 09:00:00,0,3.287628254847433,3.2245778499599482,2.436866565932834,0.22640312859727996,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s8060_late_20250701.log,0.4586556666666666,0.3246753246753247,1,231
pos94_sl07tp07_dd0510_s8060,1,0.05,0.1,0.03,0.8,0.6,late_20251009,2025-10-09 09:00:00,0,2.0769322349884236,1.4680781277452417,2.3777746207589163,0.22603785578844868,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s8060_late_20251009.log,0.4670754363636363,0.34545454545454546,1,165
pos94_sl07tp07_dd0510_s8060,1,0.05,0.1,0.03,0.8,0.6,late_20260105,2026-01-05 09:00:00,0,1.7907519513827954,0.8340488540686993,2.3464568665729564,0.22575391836513495,0.625,49,48,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0510_s8060_late_20260105.log,0.46780149523809517,0.3523809523809524,1,105
