signal_date,buy_date,symbol,stock_code,name,rank,pred_prob,pred_5d,pred_10d,rank_5d,rank_10d,amount,turnover_rate,total_mv,atr_qfq,close,target_pct,holding_days,max_holding_days,raw_target_pct
20260209,20260210,SZSE.002382,002382.SZ,蓝帆医疗,5,1.0067948013911772,0.9959729086582464,1.0095002745744097,0.9959729086582464,1.0095002745744097,56912.202,0.9459,606297.1097,,6.019999963882005,0.15400,5,5,0.14000
20260210,20260211,SZSE.301198,301198.SZ,喜悦智行,1,1.0080507681053403,1.0004440380395025,1.0099524506217996,1.0004440380395025,1.0099524506217996,33534.177,1.4674,246909.0,,14.610000039923156,0.26400,5,5,0.24000
20260210,20260211,SZSE.301103,301103.SZ,何氏眼科,2,1.0076620885149965,1.0005416057059253,1.0094422092172641,1.0005416057059253,1.0094422092172641,22114.568,0.6427,342601.3891,,21.490930516951067,0.24200,5,5,0.22000
20260210,20260211,SZSE.301049,301049.SZ,超越科技,3,1.007508412582297,0.9985369422092173,1.0097512801755668,0.9985369422092173,1.0097512801755668,47947.887,4.4662,235444.8283,,24.98000091897982,0.20900,5,5,0.19000
20260210,20260211,SZSE.002382,002382.SZ,蓝帆医疗,4,1.007454279444038,0.9989027066569129,1.0095921726408192,0.9989027066569129,1.0095921726408192,36282.474,0.6053,602268.5575,,5.979999964121993,0.17600,5,5,0.16000
20260210,20260211,SHSE.600101,600101.SH,明星电力,5,1.0065340160936356,0.9963423555230432,1.0090819312362838,0.9963423555230432,1.0090819312362838,117174.347,2.1185,552793.2332,,10.050279582813234,0.15400,5,5,0.14000
20260211,20260212,SZSE.301102,301102.SZ,兆讯传媒,1,1.008063032741906,1.000322480336565,1.0099981708432413,1.000322480336565,1.0099981708432413,178292.376,3.4159,516838.0,,12.730000158164312,0.26400,5,5,0.24000
20260211,20260212,SZSE.002382,002382.SZ,蓝帆医疗,2,1.0075406255716115,0.9994005853301627,1.0095756356319736,0.9994005853301627,1.0095756356319736,45469.411,0.7673,596225.7292,,5.919999964481972,0.24200,5,5,0.22000
20260211,20260212,SZSE.301103,301103.SZ,何氏眼科,3,1.0071176513627218,1.0000074995427108,1.0088951893177245,1.0000074995427108,1.0088951893177245,27636.451,0.8089,340389.0185,,21.35215144534714,0.20900,5,5,0.19000
20260211,20260212,SZSE.300387,300387.SZ,富邦科技,4,1.0069668922626671,0.998719590268886,1.0090287177611121,0.998719590268886,1.0090287177611121,57778.78,2.1347,269690.1978,,9.257848195609442,0.17600,5,5,0.16000
20260211,20260212,SZSE.301049,301049.SZ,超越科技,5,1.006498628132431,0.9959758551307847,1.0091293213828425,0.9959758551307847,1.0091293213828425,27052.437,2.5155,236670.1217,,25.11000092376234,0.15400,5,5,0.14000
20260212,20260213,SHSE.688663,688663.SH,新风光,1,1.0081082404531336,1.0005558194774347,1.0099963456970582,1.0005558194774347,1.0099963456970582,217177.978,2.6785,806405.22,,57.000002814728084,0.26400,5,5,0.24000
20260212,20260213,SHSE.688690,688690.SH,纳微科技,2,1.0075238077836655,0.9992780924538643,1.0095852366161155,0.9992780924538643,1.0095852366161155,74139.668,0.6588,1125431.7501,,27.80109707949848,0.24200,5,5,0.22000
20260212,20260213,SHSE.688156,688156.SH,路德科技,3,1.0073568426822583,0.9979901333820573,1.0096985200073085,0.9979901333820573,1.0096985200073085,20238.772,1.0244,198406.8893,,19.70000048732278,0.20900,5,5,0.19000
20260212,20260213,SZSE.301102,301102.SZ,兆讯传媒,4,1.0071565868810526,0.9983555636762288,1.0093568426822583,0.9983555636762288,1.0093568426822583,125204.311,2.4725,507906.0,,12.510000155430914,0.17600,5,5,0.16000
20260212,20260213,SZSE.002382,002382.SZ,蓝帆医疗,5,1.0067458432304037,0.9978074182349717,1.0089804494792618,0.9978074182349717,1.0089804494792618,49824.125,0.8535,585147.2105,,5.809999965141936,0.15400,5,5,0.14000
20260213,20260224,SHSE.688663,688663.SH,新风光,1,1.0079075488941693,1.0004516541765673,1.0097715225735697,1.0004516541765673,1.0097715225735697,129590.197,1.6111,798907.0662,,56.470002788556044,0.26400,5,5,0.24000
20260213,20260224,SZSE.301102,301102.SZ,兆讯传媒,2,1.0075999268872236,1.0009972582708828,1.0092505940413088,1.0009972582708828,1.0092505940413088,96294.259,1.9144,499380.0,,12.300000152821765,0.24200,5,5,0.22000
20260213,20260224,SHSE.688156,688156.SH,路德科技,3,1.0075086821422043,0.9979893986474137,1.009888503015902,0.9979893986474137,1.009888503015902,21362.36,1.0818,196594.0345,,19.52000048287008,0.20900,5,5,0.19000
20260213,20260224,SZSE.301103,301103.SZ,何氏眼科,4,1.0067190641564614,0.9989033083531347,1.008673003107293,0.9989033083531347,1.008673003107293,30174.422,0.8863,338966.7803,,21.262936327887473,0.17600,5,5,0.16000
20260213,20260224,SZSE.300966,300966.SZ,共同药业,5,1.0065224639005665,1.0000844452568087,1.008131968561506,1.0000844452568087,1.008131968561506,22228.294,1.351,246355.7385,,21.37000089137265,0.15400,5,5,0.14000
20260224,20260225,SHSE.605077,605077.SH,华康股份,1,1.007536951754386,1.00081341374269,1.0092178362573099,1.00081341374269,1.0092178362573099,38307.447,0.7928,490940.8915,,16.19999940272185,0.26400,5,5,0.24000
20260224,20260225,SHSE.600780,600780.SH,通宝能源,2,1.0072480263157895,1.0000047514619883,1.0090588450292397,1.0000047514619883,1.0090588450292397,113183.755,1.5973,711978.0668,,6.209999855547181,0.24200,5,5,0.22000
20260224,20260225,SZSE.301103,301103.SZ,何氏眼科,3,1.007067543859649,1.0005935672514619,1.0086860380116958,1.0005935672514619,1.0086860380116958,44055.721,1.2891,341969.2832,,21.45127935363566,0.20900,5,5,0.19000
20260224,20260225,SZSE.300614,300614.SZ,百川畅银,4,1.0063786549707603,0.9968932748538012,1.00875,0.9968932748538012,1.00875,48390.915,1.9913,242586.3066,,15.12000031628138,0.17600,5,5,0.16000
20260224,20260225,SZSE.301102,301102.SZ,兆讯传媒,5,1.0061564327485382,0.9939692982456141,1.009203216374269,0.9939692982456141,1.009203216374269,76954.001,1.5726,491666.0,,12.1100001504611,0.15400,5,5,0.14000
20260225,20260226,SHSE.603176,603176.SH,汇通集团,1,1.007591662095447,1.0008912049734868,1.009266776375937,1.0008912049734868,1.009266776375937,27731.326,1.0201,278488.9136,,5.847906548553293,0.26400,5,5,0.24000
20260225,20260226,SHSE.688737,688737.SH,中自科技,2,1.0074551106235143,0.9977143901993052,1.0098902907295666,0.9977143901993052,1.0098902907295666,80697.965,2.3849,338487.125,,28.31000078562052,0.24200,5,5,0.22000
20260225,20260226,SZSE.301103,301103.SZ,何氏眼科,3,1.0072905467178643,0.9989029072956664,1.0093874565734138,0.9989029072956664,1.0093874565734138,31729.113,0.9199,343075.4685,,21.520668889437626,0.20900,5,5,0.19000
20260225,20260226,SHSE.688576,688576.SH,西山科技,4,1.0072554397513258,0.9974401170232218,1.0097092704333517,0.9974401170232218,1.0097092704333517,28684.471,1.6478,365820.4824,,80.40000433018493,0.17600,5,5,0.16000
20260225,20260226,SHSE.688211,688211.SH,中科微至,5,1.0066359480709455,0.9999963430243188,1.008295849332602,0.9999963430243188,1.008295849332602,14569.038,0.3291,441283.9644,,33.52999848029039,0.15400,5,5,0.14000
20260226,20260227,SZSE.300592,300592.SZ,华凯易佰,1,1.0080399707441945,1.0004485280672883,1.009937831413421,1.0004485280672883,1.009937831413421,107704.123,2.2018,566914.7795,,14.0199999076303,0.26400,5,5,0.24000
20260226,20260227,SZSE.300962,300962.SZ,中金辐照,2,1.0078262936551472,1.000799049186323,1.0095831047723531,1.000799049186323,1.0095831047723531,53070.625,1.1465,462795.3254,,17.529999030167833,0.24200,5,5,0.22000
20260226,20260227,SZSE.300864,300864.SZ,南大环境,3,1.0074852441031268,0.9998178826110806,1.0094020844761382,0.9998178826110806,1.0094020844761382,111706.631,3.0653,370616.373,,22.62307171811531,0.20900,5,5,0.19000
20260226,20260227,SZSE.000722,000722.SZ,湖南发展,4,1.0073602121045895,1.0006335710367527,1.0090418723715486,1.0006335710367527,1.0090418723715486,163965.629,2.6817,612224.774,,13.144238316028755,0.17600,5,5,0.16000
20260226,20260227,SZSE.301103,301103.SZ,何氏眼科,5,1.0065737794843665,0.9983543609434997,1.0086286341195831,0.9983543609434997,1.0086286341195831,27132.676,0.7924,342127.3097,,21.461192144464512,0.15400,5,5,0.14000
20260227,20260302,SHSE.688576,688576.SH,西山科技,1,1.008193198025233,1.0009952459316145,1.0099926860486377,1.0009952459316145,1.0099926860486377,93240.563,5.1932,379561.5005,,83.42000449283616,0.26400,5,5,0.24000
20260227,20260302,SHSE.603176,603176.SH,汇通集团,2,1.0073827025050284,0.9987200585116109,1.0095483635033826,0.9987200585116109,1.0095483635033826,17759.195,0.6636,276112.7284,,5.798009734999083,0.24200,5,5,0.22000
20260227,20260302,SHSE.603276,603276.SH,恒兴新材,3,1.0071881513987935,0.9985372097275553,1.0093508868166028,0.9985372097275553,1.0093508868166028,29708.64,2.1104,388096.9099,,18.513480210159504,0.20900,5,5,0.19000
20260227,20260302,SZSE.300864,300864.SZ,南大环境,4,1.0071118303163284,1.0002620223075516,1.0088242823185225,1.0002620223075516,1.0088242823185225,91243.358,2.4841,367300.2487,,22.420649687403586,0.17600,5,5,0.16000
20260227,20260302,SHSE.688211,688211.SH,中科微至,5,1.00674346315597,0.997805814591333,1.0089778752971292,0.997805814591333,1.0089778752971292,21004.854,0.4775,442731.6601,,33.63999847530476,0.15400,5,5,0.14000
20260302,20260303,SHSE.688211,688211.SH,中科微至,1,1.0079448975859546,0.9999439465983906,1.0099451353328457,0.9999439465983906,1.0099451353328457,32834.935,0.7425,439046.6165,,33.35999848799545,0.26400,5,5,0.24000
20260302,20260303,SHSE.603176,603176.SH,汇通集团,2,1.0070899780541334,0.9967081199707388,1.0096854425749817,0.9967081199707388,1.0096854425749817,33569.812,1.2852,267083.2243,,5.608401843493089,0.24200,5,5,0.22000
20260302,20260303,SHSE.688299,688299.SH,长阳科技,3,1.0070278346744699,1.000998719824433,1.0085351133869789,1.000998719824433,1.0085351133869789,202447.846,3.4392,580246.253,,20.190000958973542,0.20900,5,5,0.19000
20260302,20260303,SHSE.603276,603276.SH,恒兴新材,4,1.0066422823701537,0.9972567666422824,1.0089886613021215,0.9972567666422824,1.0089886613021215,55826.332,4.0508,376676.1876,,17.96867474651115,0.17600,5,5,0.16000
20260302,20260303,SZSE.000068,000068.SZ,华控赛格,5,1.0064386978785662,1.0003573518653985,1.007959034381858,1.0003573518653985,1.007959034381858,72941.826,2.0659,350321.6695,,3.479999956331755,0.15400,5,5,0.14000
20260303,20260304,SZSE.301293,301293.SZ,三博脑科,1,1.0079021937842778,1.0009954296160877,1.0096288848263253,1.0009954296160877,1.0096288848263253,1147827.039,9.7748,1456327.9981,,70.70000238461652,0.26400,5,5,0.24000
20260303,20260304,SHSE.600783,600783.SH,鲁信创投,2,1.0072844606946985,1.0000859232175503,1.0090840950639854,1.0000859232175503,1.0090840950639854,662631.164,3.975,1629402.4946,,21.889999286795483,0.24200,5,5,0.22000
20260303,20260304,SHSE.603421,603421.SH,鼎信通讯,3,1.007067861060329,1.000509323583181,1.008707495429616,1.000509323583181,1.008707495429616,226484.57,4.3577,508056.4081,,7.7899998506957395,0.20900,5,5,0.19000
20260303,20260304,SZSE.300635,300635.SZ,中达安,4,1.0065769652650824,0.9957952468007313,1.0092723948811702,0.9957952468007313,1.0092723948811702,82265.437,5.0655,184398.438,,13.169999928636985,0.17600,5,5,0.16000
20260303,20260304,SZSE.301231,301231.SZ,荣信文化,5,1.006237659963437,0.9985374771480804,1.0081627056672762,0.9985374771480804,1.0081627056672762,247606.298,12.9121,293121.2,,34.72999894749207,0.15400,5,5,0.14000
20260304,20260305,SHSE.688768,688768.SH,容知日新,1,1.0080536549707604,1.000999269005848,1.0098172514619883,1.000999269005848,1.0098172514619883,231389.805,5.4717,422785.766,,47.7591908359973,0.26400,5,5,0.24000
20260304,20260305,SZSE.002031,002031.SZ,巨轮智能,2,1.0074420321637425,1.000265716374269,1.009236111111111,1.000265716374269,1.009236111111111,515254.043,3.7106,1596761.2564,,7.260000029817323,0.24200,5,5,0.22000
20260304,20260305,SHSE.601111,601111.SH,中国国航,3,1.0068450292397662,0.998172514619883,1.0090131578947368,0.998172514619883,1.0090131578947368,1022045.608,1.1151000261306763,13592319.959,0.30799999833106995,7.789999832086688,0.20900,5,5,0.19000
20260304,20260305,SHSE.603387,603387.SH,基蛋生物,4,1.0068304093567253,0.9987207602339181,1.0088578216374269,0.9987207602339181,1.0088578216374269,71337.19,1.7166,414344.4234,,8.169999818562886,0.17600,5,5,0.16000
20260304,20260305,SZSE.300445,300445.SZ,康斯特,5,1.0068218567251463,1.0000815058479533,1.0085069444444443,1.0000815058479533,1.0085069444444443,111512.636,3.7462,439092.8369,,20.58486021283235,0.15400,5,5,0.14000
20260305,20260306,SZSE.002313,002313.SZ,日海智能,1,1.0070671903544026,1.000633723054439,1.0086755571793935,1.000633723054439,1.0086755571793935,112884.441,3.2111,348940.8,,9.320000377237488,0.26400,5,5,0.24000
20260305,20260306,SZSE.002508,002508.SZ,老板电器,2,1.0065999269272927,0.9965290464011691,1.0091176470588237,0.9965290464011691,1.0091176470588237,191739.628,1.0273000001907349,1890822.7709,0.6064800024032593,19.432594214206137,0.24200,5,5,0.22000
20260305,20260306,SHSE.603073,603073.SH,彩蝶实业,3,1.0065467665327001,1.0008156740957252,1.0079795396419438,1.0008156740957252,1.0079795396419438,45840.373,4.4602,232000.0,,20.00000052008749,0.20900,5,5,0.19000
20260305,20260306,SZSE.002653,002653.SZ,海思科,5,1.0057055169894045,0.9963463646328097,1.0080453050785532,0.9963463646328097,1.0080453050785532,201435.398,0.9471,4944437.8376,,43.922648276830444,0.15400,5,5,0.14000
20260306,20260309,SZSE.000533,000533.SZ,顺钠股份,1,1.0081632511415526,1.0008162557077627,1.01,1.0008162557077627,1.01,148069.213,1.4529,1027934.208,,14.87999932126095,0.26400,5,5,0.24000
20260306,20260309,SHSE.688373,688373.SH,盟科药业,2,1.0074380639269407,1.000996712328767,1.009048401826484,1.000996712328767,1.009048401826484,92048.26,2.5835,388487.201,,5.92,0.24200,5,5,0.22000
20260306,20260309,SHSE.603137,603137.SH,恒尚节能,3,1.0070911415525114,0.9981735159817352,1.0093205479452054,0.9981735159817352,1.0093205479452054,39024.263,3.7313,261594.6676,,14.30000009553445,0.20900,5,5,0.19000
20260306,20260309,SHSE.605288,605288.SH,凯迪股份,5,1.0056255707762558,0.9937899543378995,1.0085844748858448,0.9937899543378995,1.0085844748858448,110537.421,1.324,832881.4464,,83.55058759412184,0.15400,5,5,0.14000
20260309,20260310,SHSE.601021,601021.SH,春秋航空,1,1.0075367037780618,1.000778974265377,1.009226136156233,1.000778974265377,1.009226136156233,1259663.676,2.71370005607605,4656867.0935,1.7339999675750732,47.600000565658384,0.26400,5,5,0.24000
20260309,20260310,SHSE.688373,688373.SH,盟科药业,2,1.007318926811462,1.0009968972440226,1.0088994342033217,1.0009968972440226,1.0088994342033217,64887.612,1.8297,387830.9726,,5.91,0.24200,5,5,0.22000
20260309,20260310,SHSE.605288,605288.SH,凯迪股份,3,1.0066332177404638,1.0006346048549006,1.0081328709618544,1.0006346048549006,1.0081328709618544,115117.995,1.4381,808852.6223,,81.14013364571272,0.20900,5,5,0.19000
20260309,20260310,SHSE.688819,688819.SH,天能股份,4,1.0065077568899434,0.9956196386201862,1.0092297864573827,0.9956196386201862,1.0092297864573827,144123.995,0.48730000853538513,2976570.2,0.8450000286102295,29.89785830066829,0.17600,5,5,0.16000
