name,open_score_exit,target_pct,score_exit_ratio,min_hold_score_exit,max_daily_sells,extra_env,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
tp110_exit095_mh3,1,0.11,0.95,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp110_exit095_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp110_exit095_mh3.log,1.201378217046534,1.72426577300936,0.23511597509148213,0.5828220858895705,497,489,2433,494,0.7537301606425709,0.1827309236947791,8,498
equity_dd_resize,1,0.1081,0.95,2,1,GM_EQUITY_DD_HARD_SCALE=0.75;GM_EQUITY_DD_HARD_TRIGGER=0.18;GM_EQUITY_DD_RECOVER_TRIGGER=0.04;GM_EQUITY_DD_RESIZE_EXISTING=1;GM_EQUITY_DD_RISK_MODE=1;GM_EQUITY_DD_SOFT_SCALE=0.90;GM_EQUITY_DD_SOFT_TRIGGER=0.10,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\equity_dd_resize.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\equity_dd_resize.log,1.429932188517048,1.7126422347124923,0.23129343065798227,0.556420233463035,954,1028,2433,494,0.8056559377510035,0.6927710843373494,10,498
tp1093_exit100_mh3,1,0.1093,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1093_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1093_exit100_mh3.log,1.3698450237139015,1.6874870152067876,0.23345694683764637,0.5959183673469388,499,490,2433,494,0.7909884839357425,0.4578313253012048,9,498
tp1095_exit100_mh3,1,0.1095,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1095_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1095_exit100_mh3.log,1.3731426217904368,1.6863161444144477,0.23391983010583264,0.5959183673469388,499,490,2433,494,0.79233333935743,0.4578313253012048,9,498
tp1098_exit100_mh3,1,0.1098,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1098_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1098_exit100_mh3.log,1.3773911970836958,1.6837563736130823,0.2346241641477785,0.5959183673469388,499,490,2433,494,0.7942201887550194,0.4578313253012048,9,498
tp110_exit100_mh3,1,0.11,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp110_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp110_exit100_mh3.log,1.3814342745407753,1.683410068972672,0.23484944610891978,0.5959183673469388,499,490,2433,494,0.7956192269076303,0.4598393574297189,9,498
tp1092_exit100_mh3,1,0.1092,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1092_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1092_exit100_mh3.log,1.3024624482844729,1.6598541313401842,0.23296339880409722,0.5963114754098361,497,488,2433,494,0.7901883052208835,0.4578313253012048,9,498
tp1091_exit100_mh3,1,0.1091,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1091_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1091_exit100_mh3.log,1.297016680686383,1.6586161157176096,0.23319739735575512,0.5963114754098361,497,488,2433,494,0.7895243534136547,0.4578313253012048,9,498
tp1105_exit100_mh3,1,0.1105,1.0,3,1,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\tp1105_exit100_mh3.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\tp1105_exit100_mh3.log,1.1384060713557063,1.6563196047800728,0.23608303518618887,0.5775510204081633,498,490,2433,494,0.7406685441767074,0.030120481927710843,8,498
index_risk_mild,1,0.1081,0.95,2,1,GM_INDEX_RISK_BUY_SCALE=0.70;GM_INDEX_RISK_CC_THRESHOLD=-0.025;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.025,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\index_risk_mild.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\index_risk_mild.log,1.087097903012324,1.625003290324091,0.23405289692588555,0.5320813771517997,649,639,2433,494,0.7200350281124503,0.5963855421686747,10,498
exit095_mh1_sells2,1,0.1081,0.95,1,2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit095_mh1_sells2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit095_mh1_sells2.log,1.0774650646235437,1.552763153847388,0.27328703547841854,0.581032412965186,842,833,2433,494,0.6507204417670681,0.0642570281124498,9,498
exit095_mh2_sells2,1,0.1081,0.95,2,2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit095_mh2_sells2.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit095_mh2_sells2.log,0.9473069867243007,1.4236745955439594,0.26394724137668746,0.5734939759036145,839,830,2433,494,0.6704354116465857,0.06827309236947791,9,498
exit100_mh3_sells0,1,0.1081,1.0,3,0,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\exit100_mh3_sells0.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\exit100_mh3_sells0.log,0.7498481349375209,1.3032996967802524,0.22144894548821786,0.5555555555555556,982,972,2433,494,0.5838660200803215,0.06827309236947791,9,498
index_risk_tight,1,0.1081,0.95,2,1,GM_INDEX_RISK_BUY_SCALE=0.70;GM_INDEX_RISK_CC_THRESHOLD=-0.015;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.015,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\signals\index_risk_tight.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_exec_risk_refine_20260621\logs\index_risk_tight.log,0.5865163398142225,1.2760455500606198,0.22707785118470847,0.4742857142857143,886,875,2433,494,0.5568284779116468,0.29518072289156627,10,498
