name,eligible,disqualification_reason,mode,rank_max,pred_min,primary_count_min,avg_pred_min,max_positions,holding_days,target_pct,extra_env,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,min_signal_target_pct,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
strongday_top5_t20_idx_loose,True,,equal,5,,2,,5,7,0.2,GM_INDEX_RISK_BUY_SCALE=0.85;GM_INDEX_RISK_CC_THRESHOLD=-0.035;GM_INDEX_RISK_EXIT_MODE=1;GM_INDEX_RISK_INTRADAY_THRESHOLD=-0.035,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top5_t20_idx_loose.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top5_t20_idx_loose.log,1.3385380590453797,1.9132171032668153,0.26996002856979684,0.5615384615384615,395,390,2022,409,0.19999999999999288,0.2,0.2,0.6254695240963858,0.1646586345381526,5,498
strongday_top3_mp5_t30_h7,True,,equal,3,,2,,5,7,0.3,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top3_mp5_t30_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top3_mp5_t30_h7.log,1.3342671793535903,1.8548129477952975,0.3652980342029477,0.5686274509803921,310,306,1227,409,0.3000000000000067,0.3,0.3,0.6077980883534136,0.25903614457831325,4,498
avg235_top5_mp5_t25_h7,True,,equal,5,,,2.35,5,7,0.25,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\avg235_top5_mp5_t25_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\avg235_top5_mp5_t25_h7.log,1.2867586187728477,2.1455002625754434,0.3121604615604688,0.575,284,280,1847,374,0.25,0.25,0.25,0.48419066265060245,0.018072289156626505,4,498
top3_mp6_t17_h7,True,,equal,3,,,,6,7,0.17,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\top3_mp6_t17_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\top3_mp6_t17_h7.log,1.230988241183914,1.6958788155320343,0.24231456250224342,0.5595505617977528,450,445,1482,494,0.1699999999999946,0.17,0.17,0.640607433734939,0.07228915662650602,5,498
strongday_top5_mp5_t20_h8,True,,equal,5,,2,,5,8,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top5_mp5_t20_h8.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top5_mp5_t20_h8.log,1.1503863952968054,1.6828864040096245,0.3156410058335142,0.5533707865168539,362,356,2022,409,0.19999999999999288,0.2,0.2,0.659713487951807,0.178714859437751,6,498
strongday_top3_mp5_t25_h7,True,,equal,3,,2,,5,7,0.25,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top3_mp5_t25_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top3_mp5_t25_h7.log,1.1422756747592286,2.0978242797308626,0.31203381050825296,0.5570032573289903,312,307,1227,409,0.25,0.25,0.25,0.517480973895582,0.018072289156626505,4,498
avg225_top3_mp5_t20_h7,True,,equal,3,,,2.25,5,7,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\avg225_top3_mp5_t20_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\avg225_top3_mp5_t20_h7.log,1.125932128682156,2.1056227330847648,0.29688573885462455,0.5568181818181818,356,352,1197,399,0.19999999999999576,0.2,0.2,0.5431412610441768,0.0642570281124498,4,498
strongday_top4_avg2490_t22_h7,True,,equal,4,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_avg2490_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_avg2490_t22_h7.log,1.1201760521612099,2.0844060396494952,0.17080165990408358,0.5855855855855856,222,222,932,233,0.21999999999999897,0.22,0.22,0.4153949216867468,0.11847389558232932,5,498
strongday_top4_r3p1990_t22_h7,True,,equal,4,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_r3p1990_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_r3p1990_t22_h7.log,1.089736553806919,1.7427444254913569,0.22501614903306116,0.5892857142857143,284,280,1100,275,0.21999999999999897,0.22,0.22,0.5748388614457838,0.24899598393574296,5,498
top4_mp6_t17_h7,True,,equal,4,,,,6,7,0.17,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\top4_mp6_t17_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\top4_mp6_t17_h7.log,1.0801268980223258,1.5490471972465278,0.26232947332786555,0.5572354211663066,468,463,1974,494,0.16999999999999957,0.17,0.17,0.6830199337349396,0.0963855421686747,6,498
