name,rules_json,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,avg_day_target_sum,min_day_target_sum,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
gap_t0p02_g1p16_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.02}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p02_g1p16_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p02_g1p16_b0p82.log,3.0319171711141184,3.062581283079296,0.21895780019755126,0.6051873198847262,352,347,1879,382,0.1897398084087265,0.2436,0.933301308900525,0.1722,0.6016796646586343,0.20281124497991967,5,498
gap_t0p02_g1p12_b0p82,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.02}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.82, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p02_g1p12_b0p82.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p02_g1p12_b0p82.log,3.018365261055776,3.0612350230910113,0.2193981634340913,0.6051873198847262,352,347,1879,382,0.18963500266098843,0.2352,0.932785785340316,0.1722,0.6017795421686744,0.20080321285140562,5,498
gap_t0p015_g1p12_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p12_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p12_b0p88.log,3.0953976255514934,3.061201199638978,0.22400138749694223,0.6051873198847262,352,347,1879,382,0.19273979776476666,0.2352,0.9480578010471232,0.1848,0.6096761746987958,0.20883534136546184,5,498
gap_t0p015_g1p08_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p08_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p08_b0p88.log,3.0944613213564094,3.060946637361969,0.22441359235866518,0.6051873198847262,352,347,1879,382,0.1926680627993595,0.2268,0.9477049476439813,0.1848,0.6096615803212848,0.21285140562248997,5,498
gap_t0p03_g1p08_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p08_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p08_b0p88.log,3.0822728464402442,3.060370903203056,0.22363000979771666,0.6051873198847262,352,347,1879,382,0.1929359286854687,0.2268,0.9490225392670181,0.1848,0.6101234518072285,0.21084337349397592,5,498
gap_t0p025_g1p16_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p16_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p16_b0p88.log,3.0795606734057577,3.0601312448383604,0.22279252195014437,0.6051873198847262,352,347,1879,382,0.19315737094198884,0.2436,0.9501117801047136,0.1848,0.6097570542168674,0.20682730923694778,5,498
gap_t0p015_g1p16_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p16_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p16_b0p88.log,3.094672395603534,3.059737261488175,0.22371264160149065,0.6051873198847262,352,347,1879,382,0.19281156998403223,0.2436,0.9484108376963372,0.1848,0.609751616465863,0.20883534136546184,5,498
gap_t0p025_g1p08_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p08_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p08_b0p88.log,3.078507398741645,3.059736233800432,0.22411088773094054,0.6051873198847262,352,347,1879,382,0.19287844065992343,0.2268,0.9487397643979076,0.1848,0.609853196787149,0.20281124497991967,5,498
gap_t0p03_g1p12_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p12_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p12_b0p88.log,3.075225722422935,3.0587313830922533,0.2218307485748582,0.6051873198847262,352,347,1879,382,0.19309258116019032,0.2352,0.9497930890052378,0.1848,0.6100568393574297,0.20883534136546184,5,498
gap_t0p025_g1p12_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p12_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p12_b0p88.log,3.073592751468925,3.058674317639508,0.22339010928027783,0.6051873198847262,352,347,1879,382,0.1930178658861081,0.2352,0.9494255759162326,0.1848,0.609870128514056,0.20481927710843373,5,498
